Student ID,Name,Chinese,English,Math,Physics,Chemistry
1001,Student_1001,100,58,71,100,46
1002,Student_1002,73,52,62,40,28
1003,Student_1003,94,46,52,48,72
1004,Student_1004,63,63,60,73,81
1005,Student_1005,71,91,42,61,77
1006,Student_1006,61,41,83,73,47
1007,Student_1007,59,82,37,68,85
1008,Student_1008,66,81,100,54,59
1009,Student_1009,65,78,43,89,56
1010,Student_1010,60,80,92,76,59
1011,Student_1011,61,53,56,61,71
1012,Student_1012,86,81,78,92,47
1013,Student_1013,100,61,58,62,69
1014,Student_1014,62,33,95,51,76
1015,Student_1015,65,70,70,72,86
1016,Student_1016,77,57,86,75,72
1017,Student_1017,100,90,71,77,49
1018,Student_1018,71,65,75,80,72
1019,Student_1019,84,70,79,77,54
1020,Student_1020,93,75,62,77,53
1021,Student_1021,75,65,50,61,49
1022,Student_1022,83,68,50,59,41
1023,Student_1023,79,82,70,81,61
1024,Student_1024,85,54,62,73,86
1025,Student_1025,54,59,37,82,100
1026,Student_1026,73,55,77,44,61
1027,Student_1027,77,91,51,62,86
1028,Student_1028,77,59,52,98,64
1029,Student_1029,87,67,69,78,45
1030,Student_1030,76,60,56,74,80
1031,Student_1031,52,65,71,80,73
1032,Student_1032,78,58,99,100,97
1033,Student_1033,56,76,64,99,46
1034,Student_1034,59,54,54,46,100
1035,Student_1035,63,49,72,51,93
1036,Student_1036,68,61,58,45,69
1037,Student_1037,46,58,70,58,65
1038,Student_1038,86,49,74,70,59
1039,Student_1039,52,65,69,73,71
1040,Student_1040,93,45,70,47,67
1041,Student_1041,53,95,72,41,77
1042,Student_1042,89,47,93,58,65
1043,Student_1043,69,60,66,83,91
1044,Student_1044,44,63,71,86,71
1045,Student_1045,54,95,83,95,66
1046,Student_1046,89,44,77,69,85
1047,Student_1047,76,72,64,82,45
1048,Student_1048,68,85,83,85,75
1049,Student_1049,36,65,56,62,70
1050,Student_1050,90,52,66,75,48
1051,Student_1051,98,68,58,79,44
1052,Student_1052,95,92,78,56,85
1053,Student_1053,60,60,87,94,84
1054,Student_1054,75,91,73,69,72
1055,Student_1055,77,73,71,71,95
1056,Student_1056,47,88,56,55,76
1057,Student_1057,72,73,59,58,88
1058,Student_1058,86,62,52,37,76
1059,Student_1059,81,94,37,70,65
1060,Student_1060,53,73,64,100,54
1061,Student_1061,57,72,65,54,60
1062,Student_1062,81,82,100,100,66
1063,Student_1063,79,83,93,91,90
1064,Student_1064,36,82,78,62,81
1065,Student_1065,33,49,100,70,74
1066,Student_1066,68,60,90,67,83
1067,Student_1067,61,60,39,95,77
1068,Student_1068,65,58,86,77,73
1069,Student_1069,63,56,80,87,47
1070,Student_1070,84,59,65,75,87
1071,Student_1071,71,75,48,68,63
1072,Student_1072,74,77,78,74,86
1073,Student_1073,49,69,38,63,87
1074,Student_1074,19,63,69,48,59
1075,Student_1075,86,89,60,82,84
1076,Student_1076,100,68,51,47,64
1077,Student_1077,64,84,87,65,64
1078,Student_1078,73,61,69,63,73
1079,Student_1079,74,76,72,79,74
1080,Student_1080,95,90,83,93,70
1081,Student_1081,83,30,69,88,49
1082,Student_1082,77,60,76,80,68
1083,Student_1083,70,78,82,60,100
1084,Student_1084,70,88,78,67,28
1085,Student_1085,48,73,74,65,83
1086,Student_1086,64,70,96,62,85
1087,Student_1087,83,94,88,63,49
1088,Student_1088,66,89,68,63,62
1089,Student_1089,70,56,56,62,54
1090,Student_1090,52,71,79,84,97
1091,Student_1091,76,75,73,54,86
1092,Student_1092,48,95,95,59,87
1093,Student_1093,74,82,84,46,71
1094,Student_1094,67,68,81,91,89
1095,Student_1095,43,73,70,58,69
1096,Student_1096,86,41,56,79,90
1097,Student_1097,67,84,67,77,67
1098,Student_1098,97,79,77,89,59
1099,Student_1099,92,88,44,66,97
1100,Student_1100,56,67,88,55,69
